,Cluster
TCGA-A2-A0YK-01A-22D-A10A-05,Cluster 1
TCGA-BH-A208-01A-11D-A161-05,Cluster 2
TCGA-LL-A441-01A-11D-A244-05,Cluster 1
TCGA-AO-A0JB-01A-11D-A10P-05,Cluster 3
TCGA-AC-A2FK-01A-12D-A17Z-05,Cluster 1
TCGA-C8-A8HR-01A-11D-A36K-05,Cluster 1
TCGA-LD-A9QF-01A-32D-A41Q-05,Cluster 1
TCGA-EW-A1P1-01A-31D-A14H-05,Cluster 1
TCGA-BH-A28O-01A-11D-A22B-05,Cluster 1
TCGA-A2-A1G6-01A-11D-A13K-05,Cluster 2
TCGA-E2-A108-01A-13D-A10N-05,Cluster 1
TCGA-BH-A1FU-01A-11D-A14H-05,Cluster 1
TCGA-A2-A4RY-01A-31D-A268-05,Cluster 1
TCGA-OL-A5D6-01A-21D-A27Y-05,Cluster 1
TCGA-EW-A1PG-01A-11D-A145-05,Cluster 1
TCGA-AR-A1AO-01A-11D-A12R-05,Cluster 1
TCGA-BH-A6R9-01A-21D-A32T-05,Cluster 1
TCGA-A2-A25A-01A-12D-A16G-05,Cluster 1
TCGA-A1-A0SB-01A-11D-A145-05,Cluster 2
TCGA-OL-A5RY-01A-21D-A28C-05,Cluster 1
TCGA-BH-A42U-01A-12D-A244-05,Cluster 1
TCGA-AR-A2LQ-01A-22D-A18O-05,Cluster 1
TCGA-OL-A97C-01A-32D-A41Q-05,Cluster 2
TCGA-AO-A03U-01B-21D-A10N-05,Cluster 2
TCGA-A2-A3XW-01A-11D-A23D-05,Cluster 1
TCGA-AO-A1KO-01A-31D-A13K-05,Cluster 2
TCGA-PL-A8LY-01A-11D-A41Q-05,Cluster 2
TCGA-BH-A8FZ-01A-11D-A357-05,Cluster 1
TCGA-LL-A73Z-01A-11D-A32T-05,Cluster 1
TCGA-D8-A1XW-01A-11D-A14N-05,Cluster 2
TCGA-AR-A2LH-01A-31D-A18O-05,Cluster 1
TCGA-AC-A3YI-01A-21D-A23D-05,Cluster 1
TCGA-GM-A2DD-01A-11D-A17Z-05,Cluster 1
TCGA-EW-A1P7-01A-21D-A145-05,Cluster 1
TCGA-A8-A08H-01A-21D-A00Y-05,Cluster 1
TCGA-A2-A0CL-01A-11D-A112-05,Cluster 1
TCGA-AO-A03T-01A-21D-A032-05,Cluster 3
TCGA-B6-A0RQ-01A-11D-A112-05,Cluster 3
TCGA-AO-A03R-01A-21D-A032-05,Cluster 4
TCGA-A2-A0CZ-01A-11D-A032-05,Cluster 1
TCGA-E2-A1IH-01A-11D-A13K-05,Cluster 1
TCGA-AO-A0JI-01A-21D-A10P-05,Cluster 5
TCGA-LL-A740-01A-21D-A32T-05,Cluster 5
TCGA-BH-A1EO-01A-11D-A138-05,Cluster 5
TCGA-D8-A27G-01A-11D-A16G-05,Cluster 5
TCGA-D8-A73U-01A-11D-A33F-05,Cluster 1
TCGA-E9-A3X8-01A-31D-A230-05,Cluster 1
TCGA-AC-A3HN-01A-11D-A212-05,Cluster 1
TCGA-GM-A2DK-01A-21D-A17Z-05,Cluster 1
TCGA-AO-A0JG-01A-31D-A10P-05,Cluster 3
TCGA-AR-A5QM-01A-11D-A27Y-05,Cluster 5
TCGA-A2-A0EU-01A-22D-A10P-05,Cluster 3
TCGA-BH-A0GZ-01A-11D-A10P-05,Cluster 5
TCGA-AC-A3TN-01A-11D-A22B-05,Cluster 5
TCGA-D8-A1JN-01A-11D-A13K-05,Cluster 5
TCGA-BH-A2L8-01A-11D-A18O-05,Cluster 1
TCGA-OL-A6VQ-01A-12D-A41Q-05,Cluster 1
TCGA-B6-A401-01A-11D-A23D-05,Cluster 1
TCGA-BH-A1EY-01A-11D-A13K-05,Cluster 1
TCGA-AN-A0XT-01A-11D-A10A-05,Cluster 3
TCGA-BH-A0BJ-01A-11D-A10P-05,Cluster 1
TCGA-E2-A3DX-01A-21D-A212-05,Cluster 1
TCGA-MS-A51U-01A-31D-A268-05,Cluster 1
TCGA-E2-A1BC-01A-11D-A12R-05,Cluster 3
TCGA-BH-A0W5-01A-11D-A10A-05,Cluster 1
TCGA-AC-A6NO-01A-12D-A33F-05,Cluster 3
TCGA-GM-A2DI-01A-31D-A18O-05,Cluster 1
TCGA-BH-A1FL-01A-11D-A13K-05,Cluster 3
TCGA-D8-A1JB-01A-11D-A13K-05,Cluster 1
TCGA-BH-A0DI-01A-21D-A12R-05,Cluster 1
